Sum of VOLUME,Column Labels,,,,,
Row Labels,2018,2019,2020,2021,(blank),Grand Total
1,817751,814361,554951,134137,,2321200
2,925839,1048800,1078417,1583754,,4636810
3,854760,1073634,1008084,1322546,,4259024
4,800040,937502,934713,1310292,,3982547
5,812249,870849,938521,1270718,,3892337
6,816852,788670,873763,1207747,,3687032
7,745839,938386,786626,1045947,,3516798
8,662325,764078,882633,1042340,,3351376
9,841255,803745,903362,1153193,,3701555
10,779075,792805,891398,1215840,,3679118
11,877286,879574,887335,1197964,,3842159
12,863058,864583,967436,1192841,,3887918
13,795805,853762,1084829,1268251,,4002647
14,786511,817979,1346802,1152858,,4104150
15,937409,874088,1480147,1297522,,4589166
16,1048025,879169,2003866,1492666,,5423726
17,960848,912863,1914740,1572368,,5360819
18,865915,1059240,1964582,1565252,,5454989
19,829102,1102598,2016316,1489131,,5437147
20,798805,951212,2048931,1531045,,5329993
21,743853,874423,1842820,1561400,,5022496
22,776552,881149,1749399,1563776,,4970876
23,818978,883913,1672111,1607283,,4982285
24,933513,958393,1598331,1519467,,5009704
25,817464,913925,1454647,1349115,,4535151
26,823157,860909,1426303,1314395,,4424764
27,686917,813454,1306604,1237690,,4044665
28,906682,980602,1371776,1195619,,4454679
29,811662,935925,1269835,1168187,,4185609
30,816015,883204,1319267,1191566,,4210052
31,822165,886248,1205036,1144822,,4058271
32,746289,815116,1250590,1073118,,3885113
33,855477,847028,1228359,1091521,,4022385
34,850514,977478,1286856,1123018,,4237866
35,879956,965679,1240796,1108902,,4195333
36,884232,856524,1273737,1102781,,4117274
37,953349,917470,1135972,1066316,,4073107
38,853608,962901,1285061,1026181,,4127751
39,808010,957015,1214387,1188099,,4167511
40,796812,889764,1108258,,,2794834
41,903651,926572,1275676,,,3105899
42,934159,1012358,1240437,,,3186954
43,866446,1026545,1379348,,,3272339
44,933743,1037382,1370162,,,3341287
45,993807,1238944,1451789,,,3684540
46,1143267,1296707,1600614,,,4040588
47,1366072,1331492,1792533,,,4490097
48,2251979,1790660,2302321,,,6344960
49,1865589,2506405,2952342,,,7324336
50,1702686,1736772,2104379,,,5543837
51,1279883,1321183,1714827,,,4315893
52,1094493,916585,1063727,,,3074805
53,359749,592491,1419938,,,2372178
(blank),,,,,,
Grand Total,49099478,52823114,73475690,48679668,,224077950
